omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,actual_freq_hz,adc_sample_rate_hz,clip_flags,dac_sample_rate_hz,input_dc_v,input_max_code,input_min_code,input_pp_v,input_rms_v,magnitude_repeat_span_db,output_dc_v,output_max_code,output_min_code,output_pp_v,output_rms_v,phase_repeat_span_rad,valid_capture_count
628.377991,100.00946339780451,0.013275,0.021801799999999996,1.555,1.5410000000000001,-33.23015297396667,88.29279622965987,0.0006495174383477347,0.02179212266708505,100.009003,1600.151001,0.0,102409.640625,1.647,2790.0,1295.0,1.2,0.424,2.02,1.667,2084.0,2025.0,0.046,0.006,0.027,3.0
1256.755005,200.01877130122963,0.027222,0.029968400000000003,1.542,1.5454,-30.466728864624073,88.54489765951743,0.000761005469048214,0.02995873610878935,200.018997,3200.301025,0.0,204819.28125,1.647,2791.0,1296.0,1.192,0.424,0.749,1.667,2095.0,2012.0,0.044,0.012,0.007,3.0
1886.269043,300.2090421946689,0.041962,0.040118600000000004,1.498,1.5788000000000002,-27.93308461516763,90.45857669525438,-0.00032109273568557364,0.04011731503247806,300.209015,4803.345215,0.0,307414.09375,1.647,2792.0,1295.0,1.204,0.424,1.144,1.665,2103.0,2021.0,0.063,0.018,0.04,3.0
2513.510986,400.03769793768373,0.054108,0.053338800000000006,1.577,1.6390000000000002,-25.4591351832118,93.90778262194193,-0.0036350823105384287,0.05321478894100409,400.037994,6400.603027,0.0,409638.5625,1.647,2790.0,1300.0,1.192,0.424,0.54,1.664,2109.0,2015.0,0.074,0.023,0.011,3.0
3141.888916,500.0471516270367,0.064026,0.0683106,1.722,1.7290000000000003,-23.310238001239846,99.06440277811936,-0.010761963946536827,0.06745752889317426,500.046997,8000.75293,0.0,512048.1875,1.647,2782.0,1305.0,1.189,0.424,0.092,1.664,2115.0,2011.0,0.083,0.027,0.011,3.0
3765.729004,599.3343853311197,0.079376,0.0859924,1.856,1.8428000000000002,-21.310798599294507,105.58466248670811,-0.02310288861178764,0.08283084809146489,599.333984,9589.350586,0.0,613718.4375,1.647,2790.0,1296.0,1.203,0.424,0.326,1.664,2127.0,1988.0,0.102,0.034,0.01,3.0
4401.294922,700.487842841558,0.102081,0.1083862,1.992,1.9424000000000001,-19.300520194582283,111.29132212621111,-0.03935612551511977,0.10098843366880257,700.487976,11207.805664,0.0,717299.5625,1.647,2792.0,1296.0,1.202,0.424,0.014,1.663,2143.0,1978.0,0.129,0.043,0.0,3.0
5014.937988,798.152170089524,0.130371,0.1367064,2.067,2.0106,-17.28422306349045,115.19889428900333,-0.058204367018143625,0.12369677223346305,798.151978,12770.432617,0.0,817307.6875,1.647,2782.0,1306.0,1.186,0.424,0.098,1.663,2165.0,1962.0,0.162,0.055,0.001,3.0
5669.060059,902.2589310746819,0.166077,0.1705626,2.075,2.0436,-15.362323847225385,117.08965501293504,-0.07767150773561636,0.15185103689088228,902.258972,14436.141602,0.0,923913.0625,1.647,2790.0,1297.0,1.2,0.424,0.082,1.663,2194.0,1936.0,0.204,0.071,0.008,3.0
6283.186035,1000.0001158362165,0.205627,0.2088684,2.063,2.0392,-13.602545201706931,116.83755358307748,-0.09429624472972101,0.18637120686531106,1000.0,16000.0,0.0,1000000.0,1.647,2787.0,1300.0,1.198,0.424,0.013,1.664,2221.0,1907.0,0.251,0.087,0.0,3.0
6912.195801,1100.110129348193,0.248657,0.2508484,2.021,2.0074000000000005,-12.01177329423044,115.01554779456148,-0.10607480348352476,0.22731708217485905,1100.109985,17601.988281,0.0,1000000.0,1.647,2793.0,1297.0,1.193,0.424,0.025,1.663,2252.0,1867.0,0.303,0.105,0.001,3.0
7542.839844,1200.4802461231006,0.29361,0.2951172,1.97,1.959,-10.60010956483609,112.24243206612827,-0.11170964058005717,0.27315767962353626,1200.47998,19206.869141,0.0,1000000.0,1.648,2790.0,1301.0,1.19,0.424,0.035,1.666,2291.0,1847.0,0.353,0.125,0.002,3.0
8170.592773,1300.3902278138664,0.340271,0.3401734,1.908,1.8998,-9.365992984655515,108.85052191895379,-0.10991012772177448,0.32192810671288585,1300.390015,20805.287109,0.0,1000000.0,1.648,2790.0,1299.0,1.195,0.424,0.031,1.666,2325.0,1796.0,0.414,0.144,0.002,3.0
8799.978516,1400.5600799238814,0.387421,0.38510140000000004,1.833,1.8348,-8.288498050751326,105.12629625060345,-0.10049128254219812,0.3717587798761236,1400.560059,22409.701172,0.0,1000000.0,1.647,2790.0,1296.0,1.199,0.424,0.013,1.663,2357.0,1763.0,0.469,0.164,0.005,3.0
9420.068359,1499.250443598409,0.430908,0.42902840000000003,1.767,1.7655999999999998,-7.350279165394232,101.16142830829814,-0.08304871144664296,0.4209136247897094,1499.25,23987.582031,0.0,1000000.0,1.648,2792.0,1296.0,1.203,0.424,0.024,1.666,2400.0,1745.0,0.519,0.183,0.001,3.0
10053.09668,1600.000030002722,0.473297,0.47099,1.696,1.696,-6.539766273172528,97.17364205418761,-0.058815731038863714,0.4673032097924902,1600.0,25598.554688,0.0,1000000.0,1.647,2790.0,1297.0,1.199,0.424,0.001,1.664,2432.0,1712.0,0.567,0.201,0.004,3.0
10685.689453,1700.6802967898814,0.513245,0.5106322000000001,1.624,1.6284,-5.8378360491003125,93.30044735910326,-0.02939802607490263,0.5097852486486241,1700.680054,27208.707031,0.0,1000000.0,1.647,2790.0,1296.0,1.198,0.424,0.036,1.664,2450.0,1667.0,0.618,0.218,0.004,3.0
11300.693359,1798.5612084506047,0.550079,0.5475646000000001,1.56,1.5624000000000002,-5.23129273455983,89.51892591123983,0.004597477303413932,0.547545298925673,1798.561035,28774.542969,0.0,1000000.0,1.647,2792.0,1296.0,1.193,0.424,0.015,1.664,2479.0,1654.0,0.658,0.233,0.002,3.0
11945.21875,1901.1406103764912,0.585632,0.581671,1.495,1.4984000000000002,-4.7064517600969005,85.85199602240256,0.04207406801874076,0.5801473304612841,1901.140991,30416.890625,0.0,1000000.0,1.647,2790.0,1297.0,1.203,0.423,0.03,1.664,2560.0,1620.0,0.708,0.248,0.005,3.0
12566.371094,2000.0000763372086,0.61557,0.6131224000000001,1.437,1.4384000000000001,-4.249056338727993,82.41424925161762,0.08093821106248826,0.6077565987891569,2000.0,31996.988281,0.0,1000000.0,1.647,2789.0,1296.0,1.202,0.424,0.004,1.664,2528.0,1613.0,0.733,0.261,0.001,3.0
13199.969727,2100.8404307154265,0.643829,0.6419554000000001,1.376,1.3816000000000002,-3.849902871854358,79.15984897527454,0.12073231043270201,0.6305001544858984,2100.840088,33610.121094,0.0,1000000.0,1.647,2792.0,1298.0,1.2,0.424,0.017,1.664,2549.0,1584.0,0.774,0.273,0.001,3.0
13824.390625,2200.2201032020066,0.670502,0.668164,1.324,1.3274,-3.502338548292656,76.05441772566547,0.1610276778934669,0.648469905121462,2200.219971,35203.976563,0.0,1000000.0,1.647,2794.0,1296.0,1.202,0.424,0.011,1.664,2567.0,1557.0,0.801,0.284,0.002,3.0
14444.103516,2298.8504731024254,0.694244,0.6925598000000001,1.276,1.2764,-3.1908544181585525,73.13233297049828,0.20095467614623275,0.6627641320341671,2298.851074,36780.613281,0.0,1000000.0,1.647,2792.0,1298.0,1.201,0.424,0.002,1.664,2580.0,1547.0,0.829,0.294,0.002,3.0
15085.679688,2400.9604922462013,0.716675,0.714441,1.224,1.2288000000000001,-2.92067260638726,70.40505386567557,0.23960098705016292,0.6730656056326068,2400.960938,38418.078125,0.0,1000000.0,1.647,2800.0,1296.0,1.206,0.424,0.017,1.664,2602.0,1531.0,0.858,0.304,0.005,3.0
15707.963867,2500.0000953419335,0.737549,0.7342712,1.182,1.1838,-2.682870112035107,67.82674378758685,0.2771202507078137,0.6799695300504858,2500.0,40000.0,0.0,1000000.0,1.647,2781.0,1308.0,1.185,0.424,0.014,1.664,2609.0,1523.0,0.874,0.313,0.007,3.0
16341.18457,2600.780300292508,0.753235,0.7524658000000001,1.138,1.1404,-2.470264684351794,65.34010695671908,0.3139520711136511,0.6838412660940323,2600.780029,41615.667969,0.0,1000000.0,1.648,2789.0,1298.0,1.195,0.424,0.008,1.664,2640.0,1504.0,0.908,0.319,0.0,3.0
16958.666016,2699.0555246909394,0.769653,0.7686278000000001,1.099,1.101,-2.285678237447529,63.082653243903636,0.34796140793825453,0.6853550565352733,2699.055908,43180.085938,0.0,1000000.0,1.647,2793.0,1296.0,1.205,0.424,0.021,1.664,2656.0,1484.0,0.936,0.326,0.004,3.0
17599.957031,2801.1201596886085,0.785217,0.7832578000000001,1.059,1.0632000000000001,-2.121905430869816,60.916872778309134,0.38072442098393994,0.6845010566297789,2801.120117,44819.402344,0.0,1000000.0,1.647,2792.0,1288.0,1.204,0.424,0.017,1.664,2656.0,1479.0,0.946,0.333,0.005,3.0
18212.132813,2898.550961435055,0.797485,0.7968748000000001,1.027,1.0286,-1.9721981377072761,58.934438807156475,0.41120218571282713,0.6825849466110675,2898.551025,46372.066406,0.0,1000000.0,1.647,2793.0,1296.0,1.202,0.424,0.012,1.664,2665.0,1468.0,0.963,0.338,0.0,3.0
18849.556641,3000.0001145058127,0.810699,0.8093444000000001,0.993,0.9956,-1.837332677974469,57.04367808322476,0.4402829781748998,0.6791091642297288,3000.0,47995.484375,0.0,1000000.0,1.647,2792.0,1296.0,1.205,0.424,0.001,1.664,2670.0,1465.0,0.97,0.344,0.0,3.0
19472.681641,3099.17353841995,0.82132,0.8206848,0.965,0.9650000000000001,-1.7164722024320167,55.29042723012444,0.4673117752531741,0.6746430505539703,3099.174072,49591.597656,0.0,1000000.0,1.647,2792.0,1299.0,1.197,0.424,0.015,1.665,2688.0,1451.0,0.992,0.349,0.001,3.0
20095.476563,3198.2944287887817,0.832001,0.8312744,0.934,0.9354,-1.6051118772694541,53.59447215653721,0.4933584795637353,0.6690400128078434,3198.293945,51173.992188,0.0,1000000.0,1.647,2795.0,1297.0,1.205,0.424,0.007,1.664,2684.0,1449.0,0.994,0.353,0.001,3.0
20736.585938,3300.330154882587,0.841919,0.8406372,0.906,0.9076000000000002,-1.507827908851509,52.001649486073525,0.5175288678452263,0.662446052875763,3300.330078,52811.433594,0.0,1000000.0,1.647,2793.0,1297.0,1.202,0.424,0.019,1.667,2720.0,1439.0,1.014,0.357,0.003,3.0
21371.378906,3401.3605935797627,0.850433,0.8494322000000001,0.879,0.8806000000000002,-1.4174255987820366,50.454663439220305,0.5408237865007661,0.6550150336838185,3401.361084,54417.414063,0.0,1000000.0,1.647,2791.0,1297.0,1.204,0.424,0.005,1.664,2702.0,1425.0,1.026,0.361,0.002,3.0
